date,description,amount,type,category
2025-10-17,Bus fare,5887.98,debit,Travel
2025-06-01,Concert pass,3176.57,debit,Entertainment
2025-07-07,Ola cab,5207.35,credit,Travel
2025-08-15,Grocery store,453.63,debit,Shopping
2025-10-28,Train ticket,5453.11,debit,Travel
2025-10-22,Ola cab,9289.02,debit,Travel
2025-07-19,Grocery store,9840.92,credit,Shopping
2025-07-12,Restaurant dinner,7709.24,debit,Food
2025-07-14,Pharmacy purchase,199.8,debit,Health
2025-09-14,Grocery store,2953.97,credit,Shopping
2025-06-26,Pharmacy purchase,4249.89,credit,Health
2025-08-31,Miscellaneous expense,3436.55,credit,Others
2025-06-24,Amusement park,9548.2,credit,Entertainment
2025-08-27,Train ticket,557.0,debit,Travel
2025-10-03,Swiggy order,5806.06,credit,Food
2025-08-20,Movie ticket,6083.69,credit,Entertainment
2025-10-04,Myntra shopping,833.28,debit,Shopping
2025-06-13,Doctor visit,2382.85,debit,Health
2025-10-17,Protein supplements,4594.07,debit,Health
2025-07-07,Amazon purchase,7877.55,debit,Shopping
2025-06-25,Amusement park,8581.03,credit,Entertainment
2025-08-02,Flight booking,611.35,debit,Travel
2025-07-06,Electricity bill,6638.59,credit,Bills
2025-10-09,Gym membership,4252.1,credit,Health
2025-06-27,Flipkart order,4238.6,debit,Shopping
2025-08-18,Zomato delivery,266.97,debit,Food
2025-06-07,Electronics purchase,6650.59,credit,Shopping
2025-06-20,Stationery,6865.11,credit,Others
2025-10-02,Spotify premium,2823.57,debit,Entertainment
2025-07-12,Pharmacy purchase,3593.9,debit,Health
2025-06-14,Pharmacy purchase,5487.12,credit,Health
2025-09-22,Donation,1136.88,debit,Others
2025-10-08,Ola cab,7835.55,credit,Travel
2025-10-28,Internet recharge,320.33,credit,Bills
2025-08-07,Pharmacy purchase,5422.82,debit,Health
2025-10-22,Mobile bill,5329.49,debit,Bills
2025-07-30,Mobile bill,4665.33,credit,Bills
2025-06-08,Restaurant dinner,7008.87,credit,Food
2025-09-27,Netflix subscription,4280.23,debit,Entertainment
2025-09-04,Stationery,9925.13,debit,Others
2025-10-21,Gym membership,4408.84,debit,Health
2025-08-13,Health checkup,9471.4,credit,Health
2025-08-08,Movie ticket,9658.39,credit,Entertainment
2025-06-14,Doctor visit,4673.0,debit,Health
2025-07-09,Flipkart order,4946.06,credit,Shopping
2025-09-19,Gym membership,3070.06,debit,Health
2025-06-06,Spotify premium,1270.08,debit,Entertainment
2025-06-21,Internet recharge,9586.98,debit,Bills
2025-06-26,Stationery,9590.7,debit,Others
2025-06-23,Doctor visit,9480.56,debit,Health
2025-09-04,Electronics purchase,4312.02,credit,Shopping
2025-10-25,Amazon purchase,4956.78,credit,Shopping
2025-07-29,Swiggy order,3709.85,credit,Food
2025-06-02,Zomato delivery,4111.41,credit,Food
2025-06-19,Donation,9604.16,credit,Others
2025-10-21,Gym membership,2955.11,credit,Health
2025-07-10,Doctor visit,7712.85,debit,Health
2025-08-08,Gift purchase,2448.18,debit,Others
2025-06-03,Flight booking,8919.69,debit,Travel
2025-08-25,Domino's pizza,692.21,credit,Food
2025-10-07,Train ticket,2330.55,debit,Travel
2025-08-07,Myntra shopping,2878.37,debit,Shopping
2025-09-10,Bus fare,478.67,credit,Travel
2025-08-14,Gift purchase,7992.31,credit,Others
2025-06-05,Water bill,5374.03,debit,Bills
2025-10-06,Pharmacy purchase,1329.94,credit,Health
2025-06-02,Amazon purchase,4638.55,debit,Shopping
2025-07-29,Flipkart order,1124.29,debit,Shopping
2025-07-28,Fuel refill,8379.28,credit,Travel
2025-06-09,Gym membership,1201.97,credit,Health
2025-09-07,Concert pass,2997.51,debit,Entertainment
2025-07-31,McDonald's lunch,7460.3,debit,Food
2025-10-15,Internet recharge,3780.84,credit,Bills
2025-08-14,DTH recharge,7628.35,credit,Bills
2025-08-11,Gym membership,9164.35,debit,Health
2025-10-19,Flipkart order,446.33,credit,Shopping
2025-07-03,Mobile bill,3714.47,debit,Bills
2025-10-24,Gym membership,6522.26,credit,Health
2025-09-04,DTH recharge,7725.13,debit,Bills
2025-07-19,Stationery,4859.25,debit,Others
2025-10-15,Donation,157.32,credit,Others
2025-08-15,DTH recharge,4100.16,debit,Bills
2025-09-13,Bus fare,182.56,debit,Travel
2025-06-17,Cafe coffee,5542.33,credit,Food
2025-06-04,Zomato delivery,1157.5,credit,Food
2025-10-27,Amazon purchase,7925.92,debit,Shopping
2025-06-11,Gym membership,5921.89,credit,Health
2025-07-13,Fuel refill,7765.98,debit,Travel
2025-10-12,Stationery,5841.6,credit,Others
2025-09-04,Concert pass,7580.45,credit,Entertainment
2025-06-24,Flight booking,7805.05,debit,Travel
2025-10-10,Water bill,4988.28,debit,Bills
2025-09-04,Pharmacy purchase,230.04,debit,Health
2025-06-27,Amazon purchase,2511.34,credit,Shopping
2025-07-10,Internet recharge,5073.7,debit,Bills
2025-07-08,Train ticket,6497.19,credit,Travel
2025-08-31,Pharmacy purchase,2475.1,credit,Health
2025-09-26,Flipkart order,3496.34,credit,Shopping
2025-08-31,Movie ticket,2713.7,debit,Entertainment
2025-07-21,Domino's pizza,3151.3,debit,Food
2025-08-09,Movie ticket,5285.59,credit,Entertainment
2025-07-10,Amusement park,3301.77,debit,Entertainment
2025-08-19,Uber ride,2523.57,debit,Travel
2025-10-22,Netflix subscription,9144.76,debit,Entertainment
2025-10-28,DTH recharge,1948.67,debit,Bills
2025-07-09,Doctor visit,6048.87,debit,Health
2025-07-12,Flipkart order,1682.34,debit,Shopping
2025-07-17,Health checkup,6234.64,credit,Health
2025-06-07,Swiggy order,2745.37,credit,Food
2025-06-08,Fuel refill,3901.07,credit,Travel
2025-07-08,Train ticket,398.21,debit,Travel
2025-10-21,Amusement park,7998.79,credit,Entertainment
2025-06-11,Uber ride,9632.84,debit,Travel
2025-07-11,Restaurant dinner,3993.65,debit,Food
2025-07-03,Electronics purchase,9473.26,debit,Shopping
2025-07-21,Amazon purchase,2426.25,debit,Shopping
2025-08-28,Mobile bill,5113.77,credit,Bills
2025-08-29,Miscellaneous expense,4777.43,debit,Others
2025-06-28,Gym membership,4502.02,credit,Health
2025-06-13,Stationery,885.47,credit,Others
2025-07-08,Spotify premium,1812.02,debit,Entertainment
2025-06-10,Mobile bill,6588.91,debit,Bills
2025-07-05,Stationery,2842.96,debit,Others
2025-09-05,Miscellaneous expense,8449.14,debit,Others
2025-08-21,Netflix subscription,5868.69,debit,Entertainment
2025-09-10,Stationery,4703.6,credit,Others
2025-10-08,Pharmacy purchase,9339.95,debit,Health
2025-06-28,Electricity bill,5061.81,credit,Bills
2025-09-08,Miscellaneous expense,7358.75,debit,Others
2025-07-14,Protein supplements,6891.01,debit,Health
2025-06-22,Concert pass,9616.01,debit,Entertainment
2025-06-30,Concert pass,9718.01,credit,Entertainment
2025-07-14,Electronics purchase,3390.25,credit,Shopping
2025-09-27,Flight booking,9573.16,credit,Travel
2025-10-03,Ola cab,5696.35,debit,Travel
2025-08-11,Water bill,5709.19,credit,Bills
2025-06-30,Doctor visit,2202.08,credit,Health
2025-10-28,Flipkart order,1971.74,debit,Shopping
2025-08-23,Pharmacy purchase,4269.52,debit,Health
2025-10-17,Water bill,605.38,debit,Bills
2025-08-26,Electricity bill,298.92,credit,Bills
2025-07-09,Movie ticket,4785.67,debit,Entertainment
2025-08-03,Miscellaneous expense,9382.98,credit,Others
2025-09-02,Flight booking,1182.16,debit,Travel
2025-06-10,Zomato delivery,1425.53,credit,Food
2025-08-13,Movie ticket,2661.53,debit,Entertainment
2025-08-25,DTH recharge,9649.11,credit,Bills
2025-09-08,Ola cab,3675.95,debit,Travel
2025-07-04,Gift purchase,8183.41,debit,Others
2025-10-25,Stationery,7837.22,credit,Others
2025-10-27,Gym membership,7500.21,debit,Health
2025-08-26,Pharmacy purchase,5664.58,debit,Health
2025-10-26,Stationery,6864.98,debit,Others
2025-07-10,Amusement park,694.25,debit,Entertainment
2025-06-15,Fuel refill,1872.56,debit,Travel
2025-08-24,McDonald's lunch,6879.6,credit,Food
2025-08-27,Electronics purchase,3889.72,credit,Shopping
2025-08-15,Health checkup,3062.41,credit,Health
2025-06-11,Spotify premium,361.1,debit,Entertainment
2025-10-07,Flight booking,4838.49,credit,Travel
2025-09-08,Train ticket,1237.28,credit,Travel
2025-10-23,Doctor visit,8524.48,debit,Health
2025-06-21,Zomato delivery,9694.63,debit,Food
2025-10-14,Miscellaneous expense,6834.14,credit,Others
2025-06-19,Concert pass,3090.39,credit,Entertainment
2025-09-05,Myntra shopping,7356.01,debit,Shopping
2025-08-04,Donation,9942.75,debit,Others
2025-08-23,Movie ticket,9773.02,credit,Entertainment
2025-09-05,Uber ride,4285.58,credit,Travel
2025-10-28,Water bill,7690.16,credit,Bills
2025-07-24,Gym membership,3044.72,debit,Health
2025-08-01,Gift purchase,9935.36,debit,Others
2025-06-15,Amazon purchase,7211.71,credit,Shopping
2025-08-17,Electronics purchase,6796.02,debit,Shopping
2025-08-25,Mobile bill,2664.26,debit,Bills
2025-06-18,Doctor visit,7994.77,debit,Health
2025-10-19,Gym membership,6531.75,credit,Health
2025-07-11,Flight booking,8430.1,credit,Travel
2025-10-03,Ola cab,2995.0,credit,Travel
2025-07-06,Cafe coffee,2776.31,debit,Food
2025-09-12,Internet recharge,6403.16,debit,Bills
2025-06-02,Myntra shopping,3400.94,debit,Shopping
2025-10-26,Cafe coffee,6935.6,credit,Food
2025-09-27,Mobile bill,9071.84,debit,Bills
2025-07-13,McDonald's lunch,6088.51,debit,Food
2025-07-03,Electricity bill,5941.98,debit,Bills
2025-07-14,Zomato delivery,5568.77,credit,Food
2025-09-19,Bus fare,4769.77,debit,Travel
2025-09-04,Flipkart order,1688.25,credit,Shopping
2025-10-27,Protein supplements,5462.58,debit,Health
2025-07-15,Mobile bill,8571.47,credit,Bills
2025-06-03,Mobile bill,9404.45,debit,Bills
2025-09-06,DTH recharge,9303.46,debit,Bills
2025-06-21,Movie ticket,435.9,credit,Entertainment
2025-09-17,Concert pass,7979.28,debit,Entertainment
2025-09-11,Domino's pizza,237.48,debit,Food
2025-09-27,Flight booking,2954.5,debit,Travel
2025-07-17,Train ticket,9330.25,debit,Travel
2025-08-15,Health checkup,6285.62,credit,Health
2025-08-16,Restaurant dinner,4407.42,debit,Food
2025-10-04,Doctor visit,648.24,credit,Health
2025-07-20,Fuel refill,9075.8,debit,Travel
2025-08-17,Stationery,3904.91,credit,Others
2025-07-28,Internet recharge,4199.6,debit,Bills
2025-10-16,Internet recharge,9844.81,credit,Bills
2025-10-10,Amusement park,3145.06,debit,Entertainment
2025-07-21,Electricity bill,5676.86,credit,Bills
2025-06-18,Electricity bill,5346.24,debit,Bills
2025-08-26,Pharmacy purchase,715.71,debit,Health
2025-06-07,Amazon purchase,1167.71,credit,Shopping
2025-06-16,Gift purchase,9984.87,credit,Others
2025-07-24,Train ticket,4779.06,debit,Travel
2025-07-17,Protein supplements,1575.8,debit,Health
2025-06-03,McDonald's lunch,1240.68,credit,Food
2025-09-26,Movie ticket,9006.58,credit,Entertainment
2025-06-05,Flipkart order,7261.52,debit,Shopping
2025-10-05,Donation,2243.99,credit,Others
2025-10-27,Grocery store,9794.66,credit,Shopping
2025-06-08,Swiggy order,1960.81,credit,Food
2025-07-06,Fuel refill,8676.17,credit,Travel
2025-08-26,Amazon purchase,913.11,debit,Shopping
2025-09-04,Zomato delivery,6269.86,credit,Food
2025-08-30,Miscellaneous expense,8762.57,debit,Others
2025-10-22,Spotify premium,5516.31,debit,Entertainment
2025-09-22,Swiggy order,172.18,debit,Food
2025-06-23,Swiggy order,1329.2,credit,Food
2025-10-08,Movie ticket,5441.63,credit,Entertainment
2025-09-13,Spotify premium,7044.61,debit,Entertainment
2025-10-27,Movie ticket,659.58,debit,Entertainment
2025-06-01,Protein supplements,274.46,debit,Health
2025-09-25,Pharmacy purchase,8934.54,credit,Health
2025-06-16,Amusement park,3469.94,credit,Entertainment
2025-08-30,Stationery,7391.81,debit,Others
2025-08-20,Electricity bill,4030.31,debit,Bills
2025-06-16,Flipkart order,1962.26,credit,Shopping
2025-08-20,Donation,5172.43,debit,Others
2025-08-20,Gym membership,4929.78,debit,Health
2025-07-21,Miscellaneous expense,3790.19,debit,Others
2025-08-23,Electricity bill,7365.46,credit,Bills
2025-06-06,Internet recharge,4351.82,debit,Bills
2025-07-16,Amazon purchase,1634.22,debit,Shopping
2025-09-29,Donation,4879.08,credit,Others
2025-07-30,Bus fare,5993.53,credit,Travel
2025-06-05,Domino's pizza,8074.02,credit,Food
2025-08-28,Movie ticket,1982.69,credit,Entertainment
2025-10-01,Ola cab,4277.52,debit,Travel
2025-09-25,Cafe coffee,5435.49,debit,Food
2025-09-12,Stationery,965.86,debit,Others
2025-07-12,Zomato delivery,1099.85,debit,Food
2025-09-10,Doctor visit,1546.25,credit,Health
2025-07-21,Donation,5740.81,credit,Others
2025-10-21,DTH recharge,7867.32,debit,Bills
2025-06-15,Restaurant dinner,7808.19,credit,Food
2025-08-12,Bus fare,130.1,debit,Travel
2025-06-21,Swiggy order,2235.78,debit,Food
2025-09-13,Fuel refill,5227.82,debit,Travel
2025-09-12,Concert pass,8824.77,debit,Entertainment
2025-09-03,McDonald's lunch,5259.38,credit,Food
2025-09-05,Ola cab,3985.59,debit,Travel
2025-10-15,Donation,4837.89,credit,Others
2025-06-08,Water bill,3343.26,debit,Bills
2025-07-15,Swiggy order,4711.39,debit,Food
2025-10-04,Water bill,6040.88,debit,Bills
2025-07-20,Donation,5136.34,debit,Others
2025-06-22,McDonald's lunch,3955.26,debit,Food
2025-07-02,Netflix subscription,8934.22,debit,Entertainment
2025-08-09,Mobile bill,9045.64,credit,Bills
2025-08-20,Mobile bill,5389.44,credit,Bills
2025-09-15,Ola cab,3856.1,debit,Travel
2025-10-01,Concert pass,2160.41,credit,Entertainment
2025-07-19,Fuel refill,8095.26,debit,Travel
2025-09-28,Stationery,6735.36,credit,Others
2025-09-24,Amusement park,430.06,credit,Entertainment
2025-10-06,Train ticket,3291.52,debit,Travel
2025-06-20,Uber ride,7378.79,credit,Travel
2025-06-22,Train ticket,1530.44,debit,Travel
2025-09-20,Zomato delivery,942.66,credit,Food
2025-09-27,Uber ride,1844.61,credit,Travel
2025-09-19,Donation,1042.56,credit,Others
2025-10-26,Restaurant dinner,9531.42,credit,Food
2025-10-27,Amazon purchase,6194.9,credit,Shopping
2025-09-02,Bus fare,7131.01,credit,Travel
2025-10-24,Myntra shopping,583.67,debit,Shopping
2025-08-28,Internet recharge,3612.64,credit,Bills
2025-06-22,Movie ticket,2852.81,credit,Entertainment
2025-08-07,Train ticket,915.66,credit,Travel
2025-09-14,Fuel refill,8987.9,credit,Travel
2025-07-22,Amusement park,4519.2,debit,Entertainment
2025-09-11,Ola cab,5472.9,credit,Travel
2025-07-28,Donation,9084.83,debit,Others
2025-08-31,Restaurant dinner,9349.14,credit,Food
2025-06-23,Gym membership,9544.03,credit,Health
2025-08-08,Spotify premium,8319.03,debit,Entertainment
2025-07-03,Health checkup,404.61,debit,Health
2025-07-28,Train ticket,2711.76,debit,Travel
2025-09-19,DTH recharge,4355.0,credit,Bills
2025-07-31,Electronics purchase,6789.91,credit,Shopping
2025-09-13,McDonald's lunch,883.33,credit,Food
2025-09-16,Cafe coffee,4126.15,debit,Food
2025-07-21,Train ticket,6545.53,credit,Travel
2025-10-09,Electronics purchase,6267.47,credit,Shopping
2025-09-14,Grocery store,312.22,credit,Shopping
2025-06-21,Mobile bill,4504.05,debit,Bills
2025-06-15,Stationery,3851.35,credit,Others
2025-10-09,Electricity bill,8349.3,credit,Bills
2025-08-01,Ola cab,2798.25,debit,Travel
2025-09-25,Water bill,1535.6,debit,Bills
2025-09-12,Electricity bill,4849.27,credit,Bills
2025-07-07,Mobile bill,1563.87,credit,Bills
2025-08-12,Uber ride,9802.16,debit,Travel
2025-09-26,Doctor visit,4715.7,credit,Health
2025-06-26,Water bill,5742.65,credit,Bills
2025-08-17,DTH recharge,3751.85,credit,Bills
2025-10-24,Flight booking,6986.43,debit,Travel
2025-06-19,Health checkup,4910.03,debit,Health
2025-08-01,Water bill,8453.48,debit,Bills
2025-06-20,Uber ride,6408.16,debit,Travel
2025-08-18,Amazon purchase,1339.69,debit,Shopping
2025-07-03,Cafe coffee,4836.53,credit,Food
2025-10-16,Internet recharge,202.47,credit,Bills
2025-07-31,Gym membership,3885.12,debit,Health
2025-06-27,Flipkart order,112.28,credit,Shopping
2025-07-03,DTH recharge,9552.88,credit,Bills
2025-06-26,Pharmacy purchase,1355.14,credit,Health
2025-08-20,Domino's pizza,3193.92,credit,Food
2025-07-11,Concert pass,7512.17,credit,Entertainment
2025-09-04,Grocery store,7277.0,debit,Shopping
2025-06-17,Restaurant dinner,240.38,credit,Food
2025-07-23,Flight booking,9729.55,debit,Travel
2025-09-18,Bus fare,9161.81,credit,Travel
2025-07-26,Doctor visit,2965.11,credit,Health
2025-09-01,Netflix subscription,2993.19,credit,Entertainment
2025-06-15,Gift purchase,4313.74,credit,Others
2025-09-20,Bus fare,4849.47,debit,Travel
2025-06-05,Electricity bill,2959.58,credit,Bills
2025-07-18,Pharmacy purchase,5124.24,credit,Health
2025-06-28,Donation,4381.88,credit,Others
2025-06-13,Domino's pizza,5379.81,credit,Food
2025-07-10,McDonald's lunch,5935.69,debit,Food
2025-08-30,Spotify premium,7315.64,debit,Entertainment
2025-08-03,Cafe coffee,8200.26,debit,Food
2025-10-22,Myntra shopping,9937.05,debit,Shopping
2025-06-18,Grocery store,2583.11,debit,Shopping
2025-09-17,Doctor visit,3463.23,debit,Health
2025-06-02,Mobile bill,9285.63,credit,Bills
2025-07-06,Amusement park,4706.49,credit,Entertainment
2025-08-06,Amusement park,3488.42,credit,Entertainment
2025-09-19,Swiggy order,9416.47,credit,Food
2025-08-02,Internet recharge,6734.87,credit,Bills
2025-06-29,Stationery,1360.32,credit,Others
2025-09-18,Movie ticket,8779.59,credit,Entertainment
2025-07-11,Electricity bill,2285.24,credit,Bills
2025-10-27,Train ticket,1042.67,debit,Travel
2025-06-07,Movie ticket,6576.0,credit,Entertainment
2025-06-05,McDonald's lunch,114.27,debit,Food
2025-06-14,Electronics purchase,6972.86,credit,Shopping
2025-08-14,Doctor visit,6371.49,debit,Health
2025-07-27,Myntra shopping,9786.52,debit,Shopping
2025-06-15,Electronics purchase,4111.36,debit,Shopping
2025-07-30,Bus fare,7772.01,credit,Travel
2025-07-18,DTH recharge,1339.57,credit,Bills
2025-06-24,Gym membership,4377.42,credit,Health
2025-09-03,Amusement park,3745.92,credit,Entertainment
2025-10-06,Health checkup,3919.62,debit,Health
2025-09-21,Concert pass,3535.72,credit,Entertainment
2025-07-01,Gift purchase,8191.68,credit,Others
2025-06-23,DTH recharge,4205.05,debit,Bills
2025-06-12,Water bill,3618.13,debit,Bills
2025-06-07,Zomato delivery,3127.52,credit,Food
2025-09-05,Grocery store,6992.8,debit,Shopping
2025-10-21,Myntra shopping,8178.77,credit,Shopping
2025-08-08,Electronics purchase,5646.47,debit,Shopping
2025-06-13,DTH recharge,949.44,credit,Bills
2025-08-27,Electricity bill,2531.65,credit,Bills
2025-07-24,Bus fare,4154.54,credit,Travel
2025-10-04,Water bill,5232.53,credit,Bills
2025-10-20,Restaurant dinner,6597.16,credit,Food
2025-10-08,Fuel refill,4268.63,credit,Travel
2025-08-24,Amazon purchase,8706.98,debit,Shopping
2025-10-02,Zomato delivery,1171.32,debit,Food
2025-07-17,Gym membership,5081.55,debit,Health
2025-10-26,Uber ride,7740.0,credit,Travel
2025-09-06,Zomato delivery,826.51,credit,Food
2025-06-01,Gym membership,8880.19,debit,Health
2025-09-17,Doctor visit,9926.56,credit,Health
2025-06-08,Pharmacy purchase,5523.93,debit,Health
2025-08-29,Doctor visit,3136.06,credit,Health
2025-07-20,Cafe coffee,4940.22,credit,Food
2025-09-07,Miscellaneous expense,510.2,credit,Others
2025-09-04,Amusement park,7153.59,credit,Entertainment
2025-08-14,Doctor visit,261.13,debit,Health
2025-09-29,Concert pass,6443.08,debit,Entertainment
2025-06-06,Pharmacy purchase,8579.01,credit,Health
2025-07-04,Internet recharge,6985.99,credit,Bills
2025-09-17,Concert pass,3316.26,credit,Entertainment
2025-09-15,Ola cab,2265.94,debit,Travel
2025-07-11,Amazon purchase,1665.62,credit,Shopping
2025-07-14,Spotify premium,755.53,debit,Entertainment
2025-06-30,Train ticket,6451.05,debit,Travel
2025-06-07,Swiggy order,718.77,credit,Food
2025-07-26,Fuel refill,7026.03,debit,Travel
2025-10-21,Stationery,1002.34,debit,Others
2025-10-09,Health checkup,2484.8,credit,Health
2025-06-30,Flipkart order,6288.43,credit,Shopping
2025-08-28,Doctor visit,2016.99,debit,Health
2025-09-21,Gym membership,2084.34,credit,Health
2025-06-21,Ola cab,5802.16,credit,Travel
2025-09-09,Gift purchase,2321.19,debit,Others
2025-09-23,Electricity bill,2403.17,debit,Bills
2025-09-06,Bus fare,4386.28,debit,Travel
2025-08-10,McDonald's lunch,4688.0,debit,Food
2025-10-05,Swiggy order,5762.04,debit,Food
2025-08-10,Gym membership,6648.94,credit,Health
2025-09-11,Gift purchase,8543.65,debit,Others
2025-08-25,Concert pass,4476.68,debit,Entertainment
2025-08-15,Movie ticket,7151.7,debit,Entertainment
2025-06-27,Doctor visit,6009.12,debit,Health
2025-10-23,Uber ride,3973.23,debit,Travel
2025-08-03,Doctor visit,4191.38,debit,Health
2025-06-07,Concert pass,6289.92,debit,Entertainment
2025-09-02,Doctor visit,808.12,credit,Health
2025-06-07,Cafe coffee,2959.14,debit,Food
2025-08-12,Stationery,8260.35,debit,Others
2025-08-18,Swiggy order,1634.38,credit,Food
2025-06-18,Spotify premium,3892.4,credit,Entertainment
2025-09-04,Doctor visit,6915.86,credit,Health
2025-09-24,DTH recharge,1599.96,debit,Bills
2025-08-24,Mobile bill,4039.52,debit,Bills
2025-06-02,Cafe coffee,2255.68,debit,Food
2025-06-06,Miscellaneous expense,893.1,debit,Others
2025-06-19,Doctor visit,9842.23,credit,Health
2025-09-23,Pharmacy purchase,4301.92,debit,Health
2025-06-01,Flight booking,4107.79,credit,Travel
2025-09-22,Swiggy order,5293.63,debit,Food
2025-06-03,Fuel refill,5370.45,credit,Travel
2025-08-28,Cafe coffee,7345.55,credit,Food
2025-07-14,McDonald's lunch,2196.96,credit,Food
2025-08-07,Mobile bill,4666.32,credit,Bills
2025-09-04,Concert pass,9760.93,credit,Entertainment
2025-07-25,Water bill,8347.73,debit,Bills
2025-06-10,Pharmacy purchase,2935.84,debit,Health
2025-09-14,Fuel refill,2625.3,credit,Travel
2025-10-24,Internet recharge,3658.57,credit,Bills
2025-08-30,Uber ride,9606.75,debit,Travel
2025-09-02,Domino's pizza,5652.66,credit,Food
2025-06-23,Amazon purchase,9905.0,credit,Shopping
2025-07-02,Restaurant dinner,3114.79,debit,Food
2025-09-26,Train ticket,3516.07,debit,Travel
2025-06-17,Swiggy order,5681.53,debit,Food
2025-10-15,McDonald's lunch,1038.91,credit,Food
2025-06-29,Stationery,479.56,credit,Others
2025-08-17,Train ticket,3444.03,credit,Travel
2025-10-13,Movie ticket,7767.69,debit,Entertainment
2025-07-26,Gym membership,4652.94,credit,Health
2025-06-23,Fuel refill,4977.62,debit,Travel
2025-06-05,Domino's pizza,7962.22,debit,Food
2025-09-21,Water bill,7787.15,debit,Bills
2025-10-08,Protein supplements,8796.02,debit,Health
2025-10-10,Movie ticket,1286.49,credit,Entertainment
2025-07-08,Stationery,443.41,credit,Others
2025-09-01,Ola cab,9554.16,debit,Travel
2025-09-07,Train ticket,5273.32,credit,Travel
2025-09-10,Water bill,2275.78,credit,Bills
2025-09-10,Water bill,4011.74,debit,Bills
2025-08-03,Uber ride,1162.69,credit,Travel
2025-10-21,Netflix subscription,1036.12,credit,Entertainment
2025-10-21,Concert pass,2899.45,debit,Entertainment
2025-08-29,Stationery,7119.72,debit,Others
2025-09-21,Doctor visit,159.25,debit,Health
2025-06-30,Flight booking,9400.68,debit,Travel
2025-07-17,Domino's pizza,2050.89,credit,Food
2025-06-21,Internet recharge,814.31,debit,Bills
2025-09-11,DTH recharge,2161.4,credit,Bills
2025-06-22,Electricity bill,5691.4,debit,Bills
2025-07-23,Water bill,5300.58,credit,Bills
2025-08-02,Bus fare,3756.43,credit,Travel
2025-10-07,Cafe coffee,1036.74,debit,Food
2025-07-15,Stationery,5153.53,credit,Others
2025-10-13,Electricity bill,4514.49,credit,Bills
2025-10-27,Stationery,3704.45,credit,Others
2025-08-23,Grocery store,5015.94,debit,Shopping
2025-10-26,Internet recharge,9619.9,debit,Bills
2025-07-04,Flipkart order,294.93,credit,Shopping
2025-08-24,Myntra shopping,9200.33,debit,Shopping
2025-08-02,Gym membership,8367.33,debit,Health
2025-08-10,Domino's pizza,4284.0,debit,Food
2025-10-11,Water bill,2419.84,credit,Bills
2025-08-09,Ola cab,4421.87,credit,Travel
2025-07-27,Zomato delivery,5831.38,debit,Food
2025-09-14,Doctor visit,2837.88,debit,Health
2025-10-17,Gym membership,326.87,credit,Health
2025-08-29,Amusement park,2123.24,credit,Entertainment
2025-09-28,Bus fare,3952.21,credit,Travel
2025-06-11,Train ticket,310.41,credit,Travel
2025-10-01,Netflix subscription,2526.43,credit,Entertainment
2025-08-27,McDonald's lunch,2271.4,credit,Food
2025-10-25,Uber ride,5844.54,debit,Travel
2025-09-10,Restaurant dinner,9908.02,credit,Food
2025-08-26,Train ticket,4535.08,credit,Travel
2025-07-18,Domino's pizza,1757.03,debit,Food
2025-10-08,McDonald's lunch,6425.5,debit,Food
2025-09-11,Movie ticket,4241.14,debit,Entertainment
2025-06-19,Flight booking,421.62,credit,Travel
2025-10-01,Ola cab,6116.86,credit,Travel
2025-06-19,Mobile bill,6832.47,credit,Bills
2025-06-27,McDonald's lunch,7400.65,debit,Food
2025-10-07,Zomato delivery,9012.79,credit,Food
2025-07-06,Fuel refill,8621.77,credit,Travel
2025-08-14,Internet recharge,3090.52,credit,Bills
2025-09-18,Internet recharge,4004.15,debit,Bills
2025-07-18,Fuel refill,5906.87,debit,Travel
2025-08-25,Swiggy order,6039.58,debit,Food
2025-07-07,Miscellaneous expense,5106.21,credit,Others
2025-10-02,Movie ticket,2164.93,credit,Entertainment
2025-08-15,Gift purchase,9860.44,debit,Others
2025-07-09,Protein supplements,2425.27,credit,Health
2025-07-08,Gym membership,3965.5,debit,Health
2025-07-05,Restaurant dinner,6049.66,credit,Food
2025-06-29,Donation,3545.27,credit,Others
2025-09-02,Restaurant dinner,9865.22,credit,Food
2025-10-18,Amusement park,3824.98,debit,Entertainment
2025-07-22,Restaurant dinner,5164.36,debit,Food
2025-10-18,Doctor visit,8577.79,credit,Health
2025-07-08,Electricity bill,6336.99,debit,Bills
2025-07-18,Doctor visit,7530.49,credit,Health
2025-10-26,Netflix subscription,7334.92,credit,Entertainment
2025-10-01,Fuel refill,6248.48,credit,Travel
2025-09-03,Domino's pizza,877.71,debit,Food
2025-10-15,Netflix subscription,6346.87,debit,Entertainment
2025-10-19,Doctor visit,6231.09,debit,Health
2025-08-01,Concert pass,249.22,credit,Entertainment
2025-06-22,Stationery,5288.16,debit,Others
2025-08-21,Domino's pizza,9297.34,debit,Food
2025-07-21,Cafe coffee,9400.07,debit,Food
2025-08-21,Flipkart order,2576.38,credit,Shopping
2025-09-08,Flipkart order,7051.39,debit,Shopping
2025-06-06,Electronics purchase,8122.42,debit,Shopping
2025-07-30,Gym membership,2890.02,credit,Health
2025-09-17,Spotify premium,583.67,debit,Entertainment
2025-06-06,Mobile bill,7167.16,credit,Bills
2025-07-03,Movie ticket,9781.62,credit,Entertainment
2025-09-19,Cafe coffee,3157.07,credit,Food
